Reference,Verse,Topics
Matthew 22:39,"""And a second is like it: You shall love your neighbor as yourself.""",Love|Faith|Obedience|Community
Proverbs 16:28,"A dishonest man spreads strife, and a whisperer separates close friends.",Honesty|Peace|Faith|Community
Proverbs 17:17,"A friend loves at all times, and a brother is born for adversity.",Friendship|Love|Loyalty|Faith
Proverbs 15:4,"A gentle tongue is a tree of life, but perverseness in it breaks the spirit.",Speech|Encouragement|Faith|Wisdom
Proverbs 15:13,"A glad heart makes a cheerful face, but by sorrow of heart the spirit is crushed.",Joy|Heart|Faith|Encouragement
Proverbs 15:18,"A hot-tempered man stirs up strife, but he who is slow to anger quiets contention.",Patience|Peace|Self-Control|Faith
Proverbs 17:22,"A joyful heart is good medicine, but a crushed spirit dries up the bones.",Joy|Healing|Faith|Encouragement
Proverbs 18:24,"A man of many companions may come to ruin, but there is a friend who sticks closer than a brother.",Friendship|Loyalty|Faith|Community
John 13:34-35,"A new commandment I give to you, that you love one another: just as I have loved you, you also are to love one another. By this all people will know that you are my disciples, if you have love for one another.",Love|Discipleship|Faith|Community
Proverbs 15:1,"A soft answer turns away wrath, but a harsh word stirs up anger.",Wisdom|Peace|Communication|Self-Control
1 Peter 4:8,"Above all, keep loving one another earnestly, since love covers a multitude of sins.",Love|Forgiveness|Faith|Community
1 Peter 5:10,"And after you have suffered a little while, the God of all grace, who has called you to his eternal glory in Christ, will himself restore, confirm, strengthen, and establish you.",Grace|Restoration|Strength|Faith
Matthew 28:20,"And behold, I am with you always, to the end of the age.",GodsPresence|Assurance|Faith|Comfort
Matthew 22:37-38,"And he said to him, “You shall love the Lord your God with all your heart and with all your soul and with all your mind. This is the great and first commandment.",Love|Faith|Obedience|Priority
Romans 5:5,"And hope does not put us to shame, because God's love has been poured into our hearts through the Holy Spirit who has been given to us.",Hope|GodsLove|Faith|Assurance
John 17:11,"And I am no longer in the world, but they are in the world, and I am coming to you. Holy Father, keep them in your name, which you have given me, that they may be one, even as we are one.",Unity|Prayer|Faith|GodsProtection
Philippians 1:6,"And I am sure of this, that he who began a good work in you will bring it to completion at the day of Jesus Christ.",Hope|Purpose|Faith|GodsWork
Psalm 119:45,"And I shall walk in a wide place, for I have sought your precepts.",Freedom|GodsWord|Faith|Obedience
Philippians 4:19,And my God will supply every need of yours according to his riches in glory in Christ Jesus.,Provision|Faith|GodsCare|Hope
Matthew 25:40,"And the King will answer them, ‘Truly, I say to you, as you did it to one of the least of these my brothers, you did it to me.’",Service|Love|Faith|Compassion
John 17:3,"And this is eternal life, that they know you, the only true God, and Jesus Christ whom you have sent.",EternalLife|Faith|KnowledgeofGod|Trust
Romans 8:28,"And we know that for those who love God all things work together for good, for those who are called according to his purpose.",Hope|Trust|Purpose|Encouragement
John 8:32,"And you will know the truth, and the truth will set you free.",Truth|Freedom|Faith|Wisdom
Proverbs 12:25,"Anxiety in a man's heart weighs him down, but a good word makes him glad.",Anxiety|Encouragement|Joy|Support
Proverbs 27:19,"As in water face reflects face, so the heart of man reflects the man.",Heart|Identity|Wisdom|Faith
Matthew 7:7,"Ask, and it will be given to you; seek, and you will find; knock, and it will be opened to you.",Prayer|Faith|Trust|Seeking
Ephesians 4:32,"Be kind to one another, tenderhearted, forgiving one another, as God in Christ forgave you.",Forgiveness|Kindness|Love|Faith
Psalm 37:7,"Be still before the LORD and wait patiently for him; fret not yourself over the one who prospers in his way, because of the man who carries out evil devices!",Patience|Trust|Faith|Peace
Psalm 31:24,"Be strong, and let your heart take courage, all you who wait for the LORD!",Strength|Courage|Hope|Trust
Psalm 63:3,"Because your steadfast love is better than life, my lips will praise you.",GodsLove|Praise|Gratitude|Faith
Psalm 119:67,"Before I was afflicted I went astray, but now I keep your word.",Trials|Obedience|Faith|GodsWord
Psalm 33:18,"Behold, the eye of the LORD is on those who fear him, on those who hope in his steadfast love.",Hope|GodsCare|Faith|Trust
1 John 4:7,"Beloved, let us love one another, for love is from God, and whoever loves has been born of God and knows God.",Love|Faith|GodsLove|Community
Proverbs 16:8,Better is a little with righteousness than great revenues with injustice.,Righteousness|Faith|Integrity|Contentment
Psalm 103:2-3,"Bless the LORD, O my soul, and forget not all his benefits, who forgives all your iniquity, who heals all your diseases.",Gratitude|Forgiveness|Healing|Praise
Romans 12:14,Bless those who persecute you; bless and do not curse them.,Forgiveness|Love|Faith|Persecution
Matthew 5:7,"Blessed are the merciful, for they shall receive mercy.",Mercy|Blessing|Faith|Kindness
Matthew 5:9,"Blessed are the peacemakers, for they shall be called sons of God.",Peace|Blessing|Faith|Purpose
Matthew 5:3,"Blessed are the poor in spirit, for theirs is the kingdom of heaven.",Humility|Blessing|Faith|SpiritualGrowth
Matthew 5:8,"Blessed are the pure in heart, for they shall see God.",Purity|Blessing|Faith|Heart
Matthew 5:10,"Blessed are those who are persecuted for righteousness’ sake, for theirs is the kingdom of heaven.",Persecution|Blessing|Faith|Righteousness
Matthew 5:6,"Blessed are those who hunger and thirst for righteousness, for they shall be satisfied.",Righteousness|Blessing|Faith|Desire
Matthew 5:4,"Blessed are those who mourn, for they shall be comforted.",Comfort|Mourning|Blessing|Hope
Matthew 5:11-12,"Blessed are you when others revile you and persecute you and utter all kinds of evil against you falsely on my account. Rejoice and be glad, for your reward is great in heaven, for so they persecuted the prophets who were before you.",Persecution|Joy|Faith|Reward
2 Corinthians 1:3-4,"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort, who comforts us in all our affliction, so that we may be able to comfort those who are in any affliction, with the comfort with which we ourselves are comforted by God.",Comfort|GodsMercy|Encouragement|Community
